;Indice;Domanda ChatGTP;Risposta ChatGTP;Valutazione ChatGTP
228;11;What is the policy regarding smoking inside the facility, and what consequences may guests face for violating this policy?;Smoking is forbidden inside the facility, and penalties apply for violations.;G
229;11;What is the stance of 21WOL Operations in case the fire safety system is triggered due to certain actions, and what penalties apply?;21WOL Operations is not liable for triggered fire safety systems due to specific actions, and penalties may apply for smoke detector manipulation.;G
230;11;What are the prohibitions related to the possession of weapons, drugs, and hazardous substances within the facility?;Absolute prohibition against introducing weapons, drugs, or hazardous substances, with a penalty of Euro 500.;G
231;11;How should guests behave towards hotel employees and other guests, and what actions may lead to contract termination?;Guests must respect hotel employees and other guests, and contract termination may occur for disrespectful behavior.;G
232;11;What is the procedure for lost keys, and is there a replacement cost involved?;Guests must notify 21WOL Operations of lost keys, and the replacement cost is Euro 5.00.;G
233;11;Outline the rules for bike rental, including responsibilities, penalties, and repair/maintenance obligations.;"Guests are responsible for bikes until returned, and penalties apply for damage; repair costs are the guest's liability.";G
234;11;What insurance options are available for guests regarding the use of bicycles, and where can they obtain information about premiums?;"Insurance options are available; details on www.21houseofstories.com.";G
235;11;What are the rules for using the fitness area, and what responsibility does the hotel assume for injuries caused by equipment misuse?;Access to the fitness area is allowed for sporting/recreational purposes, and the hotel assumes no liability for injuries due to equipment misuse.;In
236;11;Describe the rules and procedures for using the laundry area, including access, equipment use, and potential penalties for violations.;"Access to the laundry area is permitted during specified hours, with penalties for inappropriate use; no liability for injuries.";G
237;11;What rules govern the use of communal kitchens, and what actions may lead to contract termination according to Article 1456?;"Access to communal kitchens after activation at reception; contract termination possible for violations.";G
238;11;What obligations and prohibitions apply to guests regarding room access, damage prevention, and the use of specific items inside rooms?;Only guests and authorized companions can access rooms, with strict prohibitions on causing damage or bringing certain items.;G
239;11;Can you summarize the guidelines and rules regarding pets, vandalism, damage, Wi-Fi usage, video surveillance, technical problems, and COVID-19 emergency measures?;Miscellaneous guidelines include allowing pets with a supplement, penalties for theft/damage, and rules for Wi-Fi usage, video surveillance, technical problems, and COVID-19 measures apply.;G
240;12;What are the parking options available for hotel and restaurant guests?;Free parking is available in the hotel territory for hotel and restaurant guests.;G
241;12;What does the accommodation price include?;The accommodation price includes accommodation for 2 persons, a la carte breakfast, 12% VAT, free TV channels and Wi-Fi internet, room cleaning, turndown service, use of air conditioning, private safe use in the rooms, and the possibility to use summer sun beds on the private hotel beach.;G
242;12;What are the rules and charges associated with staying in the rooms with pets?;Pets weighing up to 5 kg are allowed in the rooms upon advanced approval, with a surcharge of €35.00 per night;G
243;12;How can bookings be made at the hotel according to the terms and conditions?;Bookings can be made by writing a request to the hotel's email or by filling out necessary information on the hotel's website or other reservation websites.;G
244;12;What information must a guest provide to the hotel administration when booking a room?;A guest must provide the hotel administration with the exact room name, accommodation period, guest's name, phone number, email address, and guest's credit card number with its expiration date.;G
245;12;What is the payment procedure for booking a room during the High Season?;For the High Season (01.07;G
246;12;What documents and information are required for check-in at the hotel?;Documents and information required for check-in include a valid passport or ID card and a valid guest credit card.;G
247;12;How can a reservation be guaranteed, and what happens in the case of an unguaranteed reservation?;A reservation can be guaranteed by providing the hotel with the guest's credit card number and expiration date or by making a prepayment;G
248;12;What is the cancellation policy for guaranteed reservations, and when does a penalty apply?;Guaranteed reservations can be canceled up to 72 hours prior to arrival without penalties;G
249;12;Is it possible to cancel a reservation during the hot season (01.07;Cancellation is not possible during the hot season (01.07;G
250;12;How does the hotel handle early check-in and late check-out, and what are the associated costs?;Early check-in and late check-out are possible with approval from the hotel administration and come with additional costs.;G
251;12;How many extra beds and baby cots can be placed in a room, and what are the associated fees?;One extra bed (fold-out chair) and one baby cot can be placed in a room;G
252;12;What payment types are accepted for hotel services, and when should payment be made?;Guests can pay by bank transfer, credit card (Visa, MasterCard, American Express, Maestro), or cash (euros or dollars);G
253;12;What is the hotel's smoking policy, and what is the penalty for smoking in the rooms?;Smoking is allowed only on the hotel terraces;G
254;12;Until what time can guests' visitors stay in the hotel rooms, and what is required after 11:00 p.m.?;Guests' visitors may stay in hotel rooms only until 11:00 p.m;G
255;12;How is payment handled for external phone calls, and when is it added to the guest's invoice?;Payment for external phone calls is performed according to the price list confirmed by the hotel administration and is added to the guest's invoice.;G
256;12;Is there free Wi-Fi access in the hotel, and how can guests obtain the password?;Free Wi-Fi is available in the hotel public areas and guest rooms;G
257;12;What transportation service is provided for an additional charge, and between which locations?;Upon request, guests are provided with a transfer from the airport to the hotel and from the hotel to the airport or other specified destination for an additional charge.;G
258;12;What security rules and regulations are mentioned regarding personal belongings, damages, and guest supervision?;Security rules include using individual safe boxes for personal belongings, not damaging hotel inventory, not lighting candles without prior consent, and not leaving lighted candles unattended;G
259;12;Which credit cards does the hotel accept for payment?;The hotel accepts American Express, Visa, MasterCard, and Maestro credit cards for payment.;G
260;13;What information does the reception provide to guests regarding areas where pets can do their physiological needs?;The reception will inform the guest about the reserved area indicated by the direction where pets could do their physiological needs, never in the hotel room or in the common hotel areas.;G
261;13;What conditions does the text mention for pets to be accepted in the hotel?;Pets are welcomed upon notice, except in the internal and common areas and in the spa center area.;G
262;13;What is the requirement for pets left unattended in the rooms during the housekeeper's presence?;Pets must not be left unattended in the rooms during the housekeeper's presence.;G
263;13;What specific actions must pets avoid while in the hotel room?;Pets must not be left unattended in the rooms, and specific actions they must avoid are not mentioned.;G
264;13;What is the size limit for small and medium-sized pets that are accepted in the hotel?;Small and medium-sized pets accepted in the hotel can't be over than 12-15 kg.;G
265;13;How should guests inform the housekeeper about the appropriate time for room cleaning when pets are present?;Guests should inform the housekeeper about the appropriate time for room cleaning when pets are present.;G
266;13;What specific actions are strictly forbidden for pets within the hotel room and common hotel areas?;Strictly forbidden actions for pets within the hotel room and common hotel areas include jumping on the bed, armchairs, chairs, tables, etc.;G
267;13;How many animals are allowed in each hotel room?;Only one animal is allowed in each room.;G
268;13;What equipment must guests have for the welfare of their pets, according to the text?;Guests must be properly equipped for the welfare of their own pets, including currying and a travel cage.;G
269;13;Under what conditions can the hotel interrupt a pet's stay, according to the text?;The hotel can interrupt a pet's stay if it causes either disorder or disturbs other guests of the hotel.;G
270;13;What law forms the basis for the hotel's acceptance of pets, and what does it state regarding pets' access to public spaces?;"The basis for the hotel's acceptance of pets is the reference law, la 281/1991 (""Law for pets and strays prevention""), following the article 83, letter d) of the President of the Republic decree, 8th of February 1954 nr.320, stating that pets can access every public space or public exercise unless there is a formal written prohibition displayed.";G
271;13;How much is the pets' rate for their stay in the hotel, and what does it cover?;The pets' rate for their stay in the hotel is 50,00 EURO, covering a deeper room cleaning with necessary sanitary and detergent products different from the normal ones.;G
272;13;Are there any exceptions to the size limit for certain types of animals, and what documentation is required for these exceptions?;Exceptions to the size limit are mentioned for guide dogs and therapeutic animals, provided with the medical certificate proving the therapeutic needs.;G
273;13;What rules apply to pets in common hotel areas, and what are the specific requirements regarding leashes or cages?;In common hotel areas, pets should have a leash or stay in the cage.;G
274;13;What is the role of the housekeeper regarding room cleaning in the presence of pets, and what conditions must be met during cleaning?;The housekeeper will not clean the room if the pet is left unattended;G
275;13;How does the text address potential disturbances caused by barking dogs or miaowing cats, and what actions can the hotel take?;Potential disturbances caused by barking dogs or miaowing cats could lead to the hotel interrupting the pet's stay.;G
276;13;What documentation is required for guide dogs and therapeutic animals, and what purpose does it serve?;Guide dogs and therapeutic animals require a medical certificate proving the therapeutic needs.;G
277;13;How does the hotel calculate the pets' rate for their stay, and what factors contribute to this cost?;The hotel calculates the pets' rate for their stay based on the need for a deeper room cleaning with sanitary and detergent products different from the normal ones.;G
278;13;What does the text mention about the responsibility of pet owners for any damages caused by their pets?;Pet owners take either civil or criminal responsibility for any damages caused by their pets, both to things or people.;G
279;13;What responsibility do pet owners take for damages caused by their pets, according to the text?;Pet owners take responsibility for any damages caused by their pets.;G
280;14;What action will be taken if a pet is left unattended during room servicing?;**Action if a pet is left unattended during room servicing:** Room not serviced.;G
281;14;How many pets are allowed in each guest room?;**Number of pets allowed:** One pet of up to 40 pounds per guest room.;G
282;14;What responsibility do pet owners have for cleaning up pet waste?;**Responsibility for cleaning up pet waste:** Owners are responsible.;G
283;14;Under what circumstances can the hotel staff enter all rooms at the Manager of Duty's discretion?;**Circumstances for hotel staff to enter rooms:** Manager of Duty's discretion.;G
284;14;What is the maximum number of persons allowed in a one-bedroom suite?;**Maximum persons in one-bedroom suite:** Not specified.;S
285;14;How much is the charge if any of the specified situations trigger a $500 charge?;**Charge for triggering $500 charge:** Not specified.;S
286;14;What actions can the hotel take if policies are not followed during a party?;**Actions if policies are not followed during a party:** Eviction, $500 deposit retained, police notified.;G
287;14;What is the purpose of the $500 security deposit collected at check-in?;**Purpose of $500 security deposit:** Non-refundable in specific situations.;G
288;14;When can the hotel charge the credit card for room damages, according to the policy?;**When hotel can charge credit card for damages:** Hotel's discretion.;G
289;14;How are damages assessed and charges determined during the pet check-out process?;"**Assessment of damages and charges during pet check-out:** Determined by Hotel management; charges exceeding deposit billed to the guest.";G
290;14;How much is the disturbance charge for excessive noise, and when does it apply?;**Disturbance charge for excessive noise:** $500.;G
291;14;What happens in case of damages to the room, and how are charges handled?;**Handling damages:** Charged to the guest's credit card.;G
292;14;Is there a fee for late check-out, and when does it apply?;**Late check-out fee:** Amount not specified.;G
293;14;What is the hotel's smoking policy, and what is the associated damage charge?;"**Smoking policy:** Non-smoking; $250 minimum damage charge.";G
294;14;What is the damage charge for suites damaged by a pet, and what is the fee for not notifying the hotel about a pet?;"**Damage charge for suites damaged by a pet:** At least $250; $500 for not notifying the hotel.";G
295;14;What types of pets are welcome, and what behavior may lead to immediate removal?;"**Types of pets welcome:** Dogs, cats, and fish; removal for dangerous behavior.";G
296;14;What fees are associated with bringing a pet, and when are they due?;**Fees for bringing a pet:** $150 per pet (non-refundable), $250 refundable deposit, additional fees possible.;G
297;14;Where is the designated area for walking pets, according to the policy?;**Designated area for walking pets:** Exterior of the property.;G
298;14;What is the consequence of disturbing other guests due to excessive noise?;"**Consequence of excessive noise:** Guests may be asked to vacate; $500 disturbance charge.";G
299;14;If guests exceed the maximum allowed in their suite, what action will be taken?;**Action if guests exceed maximum:** Non-registered guests asked to leave.;G
300;15;What is the recommendation for payment methods in different hotel outlets?;The recommendation for payment methods in different hotel outlets is to pay by credit card or charge the cost to the room.;G
301;15;What actions are taken to ensure guests' safety and hygiene within the hotel?;Actions taken to ensure guests' safety include implementing a strict protocol, following health guidelines, and raising standards of safety and hygiene.;S
302;15;Why does Hotel Don Pancho emphasize the importance of people's well-being and safety?;Hotel Don Pancho emphasizes the importance of people's well-being and safety due to an unprecedented and difficult situation for everyone.;G
303;15;What measures are mentioned regarding employees' training and protection?;Measures for employees include continuous training, adequate protection, disinfection practices, and controls upon arrival.;G
304;15;What is the purpose of the thermographic camera at the hotel's entrance?;The thermographic camera at the hotel's entrance is for detecting fever in any person entering the hotel.;G
305;15;Why has the gym been closed temporarily, according to the text?;The gym has been closed temporarily as a preventive measure.;G
306;15;In which areas is the use of hydroalcoholic gel compulsory?;The use of hydroalcoholic gel is compulsory at the entrance to the Hotel, the restaurant, bars, swimming pool, and toilets.;G
307;15;How does Hotel Don Pancho ensure the safety of its employees and guests regarding COVID-19?;The hotel ensures the safety of its employees and guests regarding COVID-19 by implementing protection measures, providing necessary resources, and following health protocols.;G
308;15;What is the purpose of the strict protocol implemented by the hotel?;The strict protocol is implemented by the hotel to raise standards of safety, health, quality, and hygiene.;G
309;15;According to the text, what goal does Hotel Don Pancho aim to achieve for its guests during the pandemic?;Hotel Don Pancho aims to offer guests an unforgettable and carefree holiday while ensuring maximum security.;G
310;15;Under what circumstances can the hotel terminate the contract with a guest?;The hotel can terminate the contract with a guest if there is a breach of any of the rules outlined in the document.;G
311;15;What should guests do if they detect symptoms compatible with COVID-19 during their stay?;Guests should remain in self-isolation and immediately inform the Front Desk if they detect symptoms compatible with COVID-19.;G
312;15;Which organizations' instructions and recommendations is the hotel following to enhance safety?;The hotel is following the instructions and recommendations of the World Health Organization (WHO), health authorities, and the Government.;G
313;15;What are the mandatory rules for guests circulating around the hotel?;Mandatory rules for guests circulating around the hotel include wearing a face mask.;G
314;15;How does the hotel advise guests to handle greetings and interactions in public spaces?;Guests are advised to avoid physical contact greetings, respect capacity in common areas, and follow posted rules and timetables.;G
315;15;What are the emergency telephone numbers provided for guests?;Emergency telephone numbers provided for guests include 0034 112 (Emergency ambulance), 0034 900 22 33 44 (Emergency ambulance from IMED Levante Hospital), and more.;G
316;15;How does the hotel ensure the availability of menus for guests while minimizing physical contact?;The hotel ensures the availability of menus for guests by providing them in digital format through QR codes on tables.;G
317;15;What instructions are given to guests regarding check-in, check-out, and other services to minimize physical contact?;Guests are instructed to follow signs at the Reception during check-in and check-out and use in-room phones to contact reception for various services.;G
318;15;Why has the hotel removed physical information leaflets and maps from its counters?;"Physical information leaflets and maps have been removed to minimize physical contact; they are provided in digital format through QR codes.";G
319;15;What basic hygiene rules does the hotel recommend for preventing COVID-19?;Basic hygiene rules recommended by the hotel for preventing COVID-19 include frequent hand washing, using the elbow to cover mouth/nose, and avoiding touching the face.;G
320;16;What are the rules regarding the use of particular rooms by the client?;The client cannot claim the use of particular rooms.;G
321;16;Who are the contracting parties in the hotel contract?;The contracting parties are the hotel and the client.;G
322;16;Under what conditions can a third party be held liable for contract obligations?;A third party can be held liable for contract obligations if they order on behalf of the client, and the hotel has an appropriate statement from the third party.;G
323;16;What is the client entitled to offset or reduce regarding a hotel claim?;The client is only entitled to offset or reduce a hotel claim subject to an indisputable or legally valid claim.;G
324;16;What is the consequence if the client does not use all contracted services?;If the client does not use all contracted services, the contracted price is still payable unless the hotel violates its obligations.;G
325;16;When do claims for damages become statute-barred?;Claims for damages become statute-barred in five years regardless of knowledge.;G
326;16;What charges can the hotel apply if the client cancels the contract?;The hotel can charge a lump sum for damages if the client cancels, and the client is required to pay a percentage of the contracted price.;G
327;16;Under what circumstances can the hotel cancel the contract?;The hotel can cancel the contract under specified circumstances, including non-payment of a contracted advance.;G
328;16;What happens if the client does not vacate the room by 12:00 on the departure date?;"Rooms must be available to the hotel by 12:00 on the departure date; otherwise, additional charges apply.";G
329;16;How does the hotel charge for additional use of the room after the contracted departure date?;The hotel charges for additional use of the room after the contracted departure date.;G
330;16;What is the time limit for claims against the hotel, and how is it determined?;Claims against the hotel become statute-barred within one year from the beginning of the regular statutory limitation.;G
331;16;Can the hotel adjust prices, and under what circumstances?;The hotel can adjust prices if the time period between the contract and performance exceeds four months and the calculated price for hotel services increases.;G
332;16;How can the client cancel the contract, and under what conditions?;The client can cancel the contract only with prior written consent from the hotel.;G
333;16;When are rooms available to the client on the arrival date, and can the client request earlier availability?;Rooms are available to the client on the contracted arrival date from 3 pm.;G
334;16;What is the extent of the hotel's liability for tangible assets of the client, and how is it calculated?;The hotel is liable for tangible assets of the client up to a hundred times the amount of the room rate, €3,500 at most, and for cash, securities, and valuables up to €800.;G
335;16;What are the key provisions related to alterations, payment, and jurisdiction in the hotel's terms and conditions?;Alterations or supplements to the contract must be in writing, and the place of fulfillment and payment is the seat of the hotel.;G
336;16;Under what conditions can the hotel charge an advance payment or bail?;The hotel can charge an appropriate advance payment or bail upon the conclusion of the contract or later.;G
337;16;When does the hotel contract become effective?;The hotel contract becomes effective with the hotel's acceptance.;G
338;16;What penalties can the hotel charge in case of late payment?;In case of delayed payment, the hotel has the right to charge penal interest.;In
339;16;What is the hotel's obligation regarding room availability for the client?;The hotel is obliged to have the rooms ready for the client as contracted.;G
340;17;How will the hotel communicate emergency or health crisis situations to clients, as stated in Article 18.1?;In Article 18.1, the hotel will announce emergency or health crisis situations on its website so that clients are aware of the measures to be adopted.;G
341;17;What rights does a client have according to Article 13?;According to Article 13, clients have the right to receive truthful, sufficient, and comprehensible information before contracting, obtain documents accrediting the contract terms, access the establishment under the contract terms, receive services under agreed conditions, have security and privacy guaranteed, receive information about risks and security measures, receive an invoice or receipt, formulate complaints, and consult the privacy policy.;G
342;17;According to Article 1.4, under what circumstances does the hotel reserve the right to refuse admission and cancel the reservation without a refund?;The hotel reserves the right to refuse admission and cancel the reservation without a refund if a client contravenes the regulations or acts disrespectfully towards the hotel facilities or other individuals in the hotel.;G
343;17;What is the age requirement for minors to stay alone in the hotel, as mentioned in Article 1.4?;The age requirement for minors to stay alone in the hotel, as mentioned in Article 1.4, is that the hotel shall refrain from providing accommodation for minors who come alone;S
344;17;According to Article 1.1, under what circumstances can admission or stay at the hotel be refused?;According to Article 1.1, admission or stay at the hotel can be refused for lack of accommodation capacity or facilities, failure to comply with admission requirements, or adopting behavior that may cause danger or inconvenience to others.;G
345;17;In Article 1.4, what action can the hotel take if a client acts disrespectfully towards the hotel facilities or other people?;In Article 1.4, if a client acts disrespectfully towards the hotel facilities or other people, the hotel reserves the right to refuse admission and cancel the reservation without the right to a refund.;G
346;17;What information should be included in a reservation, as specified in Article 5.1?;The information that should be included in a reservation, as specified in Article 5.1, includes the date of the stay, number and type of room with its diet, cancellation policy, and complementary services, along with the total price broken down for each concept.;G
347;17;What are the limitations mentioned in Article 11.1 for access to specific areas of the hotel?;The limitations mentioned in Article 11.1 for access to specific areas of the hotel include reaching maximum capacity, exceeding closing times, not meeting age requirements, displaying violent attitudes, causing danger or nuisance to others, and violating hygiene conditions.;G
348;17;In Article 12.1, what is the requirement regarding clothing for clients in the establishment?;In Article 12.1, the requirement regarding clothing for clients in the establishment is that they must be covered with clothing.;G
349;17;Who is the person in charge of the hotel, as mentioned in Article 14?;The person in charge of the hotel, as mentioned in Article 14, is the Hotel Manager.;G
350;17;In Article 15.1, what services offered by third-party companies can clients find out about at Reception?;In Article 15.1, clients can find out about excursions, various services, and experiences provided by companies other than the hotel operator at Reception.;G
351;17;What services does the hotel offer to its clients, as mentioned in Article 16.1?;The hotel offers services such as Laundry-Dry Cleaner's, Parking or Garage, Restaurant, and Bar to its clients, as mentioned in Article 16.1.;G
352;17;What is the additional charge for room service, as specified in Article 16.2?;The additional charge for room service, as specified in Article 16.2, is a 20% increase on the prices of the menu itself.;G
353;17;According to Article 17.2, what should clients do if they believe that using a facility or service poses a risk to their health?;According to Article 17.2, if clients believe that using a facility or service may pose any risk to their health, they should contact Reception to obtain information and dispel any doubts.;G
354;17;In Article 5.1, what information should be included in all reservations, and what must be specified in the case of a direct contract between the client and the hotel?;In all reservations, the information should include the date of stay, room details, cancellation policy, complementary services, total price, and breakdown;G
355;17;Who is the person in charge of the hotel, as mentioned in Article 14, and what is their role in resolving doubts or questions?;The person in charge of the hotel is the Hotel Manager;G
356;17;According to Article 16.2, what is the additional charge for room service, and what are the specified hours for room service?;The additional charge for room service is not explicitly mentioned;G
357;17;In Article 17.2, what should clients do if they believe that using a facility or service may pose a risk to their health?;If clients believe that using a facility or service may pose a risk to their health, they should contact Reception to inform and dispel any questions they may have regarding safety measures.;G
358;17;According to Article 5.2, what are the conditions for canceling a reservation without charges?;According to Article 5.2, the conditions for canceling a reservation without charges depend on the notice period;G
359;17;What consequences may a client face if they fail to comply with measures during an emergency or health crisis, according to Article 18.2?;According to Article 18.2, a client failing to comply with measures during an emergency or health crisis may face the immediate termination of their accommodation contract without the right to any refund, with notice to the competent authority.;G
360;18;What restrictions are there on making noise in corridors and common areas during specific hours?;Making noise in corridors and common areas that may disturb others is not allowed from 10 p.m;G
361;18;From what time to what time do users have the right to occupy their room?;Users have the right to occupy their room from 2 p.m;G
362;18;What documents should people present to be registered and admitted at the establishment?;People wishing to use the rooms, common areas, and complementary services should present their identification documents for registration and admission.;G
363;18;In what situations can the establishment seek the help of authority agents to remove users?;The establishment can seek help from authority agents to remove users who do not comply with the regulations or attempt unauthorized access.;G
364;18;What regulations must individuals accessing the hotel comply with?;Individuals accessing the hotel must comply with this regulation, as long as it does not contravene Law 13/2011, Decree Law 13/2020, and other applicable rules.;G
365;18;What happens if a room remains occupied after 12 p.m.?;If a room remains occupied after 12 p.m., it is considered an extension of the stay and billed as an additional night.;G
366;18;Under what conditions can guests use pool towels?;Guests can use pool towels after identification and a security deposit;G
367;18;What is prohibited during the opening hours of the swimming pool?;The use of the pool is prohibited outside of opening hours for maintenance, and the establishment is not responsible for injuries or damages during off-hours.;G
368;18;Why is the use of floats and balls prohibited in the pool and gardens?;The use of floats and balls is not allowed in the pool and gardens except for children's floats or swimmers.;G
369;18;What is the rule regarding children using elevators?;Children are not allowed to use elevators without a responsible adult.;G
370;18;What must users show before entering the bar or restaurant?;Users must show their admission document or card before entering the bar or restaurant.;G
371;18;When can the establishment require payment for services provided outside the accommodation?;The establishment can require payment for services provided outside the accommodation at any time, even if the payment was agreed in advance.;G
372;18;Can users hang clothes in certain areas, according to the rules?;Hanging clothes in windows, pool, or garden areas is not allowed.;G
373;18;How are accommodation rates computed, according to the text?;Accommodation rates are computed by days and nights stayed, with the minimum rate being for one night, finished by noon on the day after check-in.;G
374;18;Under what circumstances can admission and stay at the hotel be denied?;Admission and stay at the hotel can be denied for reasons such as lack of capacity, non-compliance with admission requirements, age restrictions, violent or disruptive behavior, possession of weapons, drug consumption, causing disturbances, and other safety and hygiene concerns.;G
375;18;What does the hotel have the right to charge users for in case of negligence or wrong use of facilities?;The hotel has the right to charge users for damages to facilities, furniture, and elements due to negligence or misuse;G
376;18;What is the purpose of the safety boxes in each room?;Safety boxes in each room are for securing cash, jewelry, and valuables;G
377;18;What items are explicitly forbidden within hotel rooms for security reasons?;For security reasons, the use of irons and candles within hotel rooms is not permitted.;G
378;18;Are animals allowed at the establishment, and if so, under what conditions?;Animals are generally not allowed, except guide dogs;G
379;18;What obligations do users have regarding the rules contained in the regulation?;Users have the obligation to read and accept the rules in the regulation, as well as those regarding safety, coexistence, and hygiene;G
380;19;What are the rules and procedures related to mail and packages for guests at The Social Hub?;Mail and packages are sorted and distributed;G
381;19;What precautions and responsibilities are outlined for guests using the gym at The Social Hub?;Guests should use the gym at their own risk, return equipment properly, and not misuse it;G
382;19;What are the rules and regulations concerning bike usage and insurance at The Social Hub?;The hotel provides a bike sharing system;G
383;19;What is the hotel's policy on early check-out and cancellations for Hotel Student Stay guests and Extended Stay guests?;The hotel fee is due from and until the booked dates, even in the case of early departure;G
384;19;What procedure is mentioned for check-out for Hotel Student Stay guests, and why is a room check scheduled?;A room check is scheduled before check-out for Hotel Student Stay guests, and any items left in the room after check-out will be discarded;G
385;19;What are the rules regarding emergency exits, and what actions will result in a financial charge of £150?;Emergency exits, routes, corridors, and exits must remain clear;G
386;19;What is the smoking policy within The Social Hub, and what are the consequences for violating it?;Smoking is prohibited;G
387;19;What items are strictly forbidden within The Social Hub's rooms, and what are the consequences for violations?;Forbidden items within The Social Hub's rooms include candles, incense sticks, additional furnishings, etc;G
388;19;How is the cleaning of rooms handled for Hotel Student Stay guests, and what happens if a guest does not meet hygiene standards?;Room cleaning is included and occurs monthly;G
389;19;What rules and responsibilities do guests have regarding the shared kitchen, and what is the consequence for not respecting them?;Guests are responsible for cleaning the shared kitchen;G
390;19;How does The Social Hub handle garbage disposal and recycling, and what are the potential fines for improper behaviors?;Guests are responsible for proper trash disposal and recycling;G
391;19;What are the rules regarding visitors for Hotel Student Stay guests, and what actions may result in termination of the Hotel Agreement?;Hotel Student Stay guests can have one visitor at a time, with restrictions;G
392;19;What is the policy for overnight guests, and are there any restrictions on the duration of their stay?;Overnight guests are allowed in Standard Queen rooms for a maximum of 7 nights per month;G
393;19;How is the issue of unattended items in communal areas addressed, and what is the hotel's stance on responsibility for personal property?;Guests are advised to take care of personal belongings;G
394;19;How does The Social Hub handle technical issues reported by guests, and what is the policy on Wi-Fi usage?;Technical issues should be reported to the Welcome desk;G
395;19;"What are the consequences for guests who do not comply with the noise policy, according to the ""3 strike"" procedure?";"Consequences for noise policy violations follow a ""3 strike"" procedure: 1st strike, 2nd and final strike, and termination of the hotel contract for the 3rd strike.";G
396;19;What is the hotel's policy regarding noise, especially after 22:00 hours?;There should be no noise (parties, music) in communal areas, the garden, or outside the hotel after 22:00 hours.;G
397;19;What is the main purpose of The Social Hub's welcome message to guests?;The main purpose is to welcome guests, express hope for an enjoyable stay, and encourage them to contact staff for assistance.;G
398;19;How does The Social Hub handle fire alarms caused by specific actions such as illegal burning of candles or smoking?;The hotel takes no responsibility for the costs of fire alarms caused by actions like illegal burning of candles or smoking;G
399;19;How does The Social Hub encourage guests to address any issues or questions they may have?;Guests are encouraged to inform the staff as soon as possible to resolve issues quickly.;G
415;21;What is the policy regarding pets on the property?;Pets are not permitted on the property.;G
416;21;Name three areas where specific dress code restrictions apply.;Three areas with specific dress code restrictions are the Green Bar, Restaurante Mar&Duix, and the chimney room.;G
417;21;Are all rooms and suites at Grand Hotel Son Net smoking or non-smoking?;All rooms and suites at Grand Hotel Son Net are non-smoking without exception.;G
418;21;How is Grand Hotel Son Net described in terms of sophistication and privacy?;Grand Hotel Son Net is described as the epitome of authentic sophistication and serene privacy.;G
419;21;What is the geographical location of the Palacio?;The geographical location of the Palacio is Majorca, embraced by the Serra de Tramuntana.;G
420;21;What kind of attire is suggested for walking around public spaces after 8 pm?;After 8 pm, guests are suggested to wear smart casual attire for walking around public spaces.;G
421;21;What specific rule is mentioned about taking photographs at the pool areas?;Guests are requested to refrain from taking photographs at the pool areas that may involve non-familiar individuals.;G
422;21;Where is the use of bathrobes and slippers strictly prohibited?;The use of bathrobes and slippers is strictly prohibited outside the guest's room or the Spa.;G
423;21;What is the request made to guests regarding the preservation of the hotel's refinement?;Guests are requested to contribute considerably to preserving the perennial refinement of Grand Hotel Son Net.;G
424;21;What is the focus of the hotel's request regarding guests' behavior?;The hotel's request focuses on guests contributing to preserving its refinement.;G
425;21;How does the hotel express its expectation for guests to contribute to preserving its refinement?;The hotel expresses its expectation for guests to contribute to preserving its refinement by trusting that guests will respect the residence's rules.;G
426;21;Are sportswear, shorts, and t-shirts allowed in specific areas of the hotel?;Sportswear, shorts, and t-shirts for gentlemen are not allowed in the Green Bar, Restaurante Mar&Duix, and the chimney room.;G
427;21;Is there any exception to the non-smoking policy in rooms and suites?;There is no exception to the non-smoking policy in rooms and suites.;G
428;21;What are the specific areas mentioned where guests should not wear sportswear?;Guests should not wear sportswear in the Green Bar, Restaurante Mar&Duix, and the chimney room.;G
429;21;Why are pets not allowed on the property?;Pets are not allowed on the property.;S
430;21;What dress code is advised for guests after 8 pm in public spaces?;After 8 pm, guests are advised to wear smart casual attire while walking around public spaces.;G
431;21;Can guests wear bathrobes and slippers outside their rooms or the Spa?;Guests cannot wear bathrobes and slippers outside their rooms or the Spa.;G
432;21;When was the Palacio founded?;The Palacio was founded in 1672.;G
433;21;What behavior related to phone calls is discouraged to maintain guests' tranquility?;Guests are requested to refrain from making phone calls that may disturb other guests' tranquility.;G
434;21;What time does the dress code for public spaces come into effect?;The dress code for public spaces comes into effect after 8 pm.;G
435;22;How does the hotel handle situations where house rules are broken or incidents occur?;The hotel will enforce the rules and requests guests to report rule violations or incidents.;G
436;22;What are the consequences of engaging in illegal prostitution at the hotel?;Engaging in illegal prostitution will be reported to the police, and a report will be made in the Hotel Security Management system.;G
437;22;What sanctions are mentioned for failing to adhere to the house rules?;Failing to adhere to house rules may result in a €200 fine, covering and damaging a smoke detector, immediate removal, and charges for damages.;G
438;22;What consent do guests provide regarding the collection and use of personal information by the hotel?;Guests provide consent for the collection and use of personal information by the hotel for various purposes, including marketing.;G
439;22;What are the strict policies mentioned in the Non-smoking, No Drug use policy?;The hotel has a strict Non-smoking, No Drug use policy.;G
440;22;What is the purpose of cameras in the public areas of the hotel?;Cameras are present for 24/7 monitoring of public areas, and recordings may be provided to the police if necessary.;G
441;22;What is the hotel's advice regarding the use of parking facilities?;Guests are advised to use parking facilities at their own risk and not to leave valuables in their cars.;G
